Docket Number,Country,Sub Case,Status,Other Reference No.,Application No,Filing Date,No,Due Date,Amount,CPI Payment Date
13T&I0018,GC,,Granted,13T&I0018-GC-DIV,201436345,7/1/2014,12,3/1/2025,1699,2/16/2025
13T&I0018,GC,,Granted,13T&I0018-GC-DIV,201436345,7/1/2014,13,3/1/2026,1753,
13T&I0018,GC,A,Granted,13T&I0018-GC-NP,GC201427474,7/1/2014,12,3/1/2025,1699,2/16/2025
13T&I0018,GC,A,Granted,13T&I0018-GC-NP,GC201427474,7/1/2014,13,3/1/2026,1753,
13T&I0018,IN,,Granted,13T&I0018-IN-PCT,10362/DELNP/2015,11/9/2015,12,6/30/2025,390,
13T&I0018,IN,,Granted,13T&I0018-IN-PCT,10362/DELNP/2015,11/9/2015,13,6/30/2026,388,
13T&I0018,KR,,Granted,13T&I0018-KR-PCT,20167002142,1/25/2016,4,2/25/2025,159,1/29/2025
13T&I0018,KR,,Granted,13T&I0018-KR-PCT,20167002142,1/25/2016,5,2/25/2026,161,
13T&I0018,NL,,Granted,13T&I0018-NL-ETD,18205192.0,11/8/2018,12,6/30/2025,692,
13T&I0018,NL,,Granted,13T&I0018-NL-ETD,18205192.0,11/8/2018,13,6/30/2026,881,
13T&I0018,NL,A,Granted,13T&I0018-NL-EPT,14735552.3,6/30/2014,12,6/30/2025,692,
13T&I0018,NL,A,Granted,13T&I0018-NL-EPT,14735552.3,6/30/2014,13,6/30/2026,881,
13T&I0018,SG,,Granted,13T&I0018-SG-PCT,11201509168U,12/18/2015,12,6/30/2025,556,5/29/2025
13T&I0018,SG,,Granted,13T&I0018-SG-PCT,11201509168U,12/18/2015,13,6/30/2026,581,
13T&I0019,CN,,Granted,13T&I0019-CN-PCT,201480034217.2,12/16/2015,12,6/30/2025,578,5/29/2025
13T&I0019,CN,,Granted,13T&I0019-CN-PCT,201480034217.2,12/16/2015,13,6/30/2026,858,
13T&I0019,DE,,Granted,13T&I0019-DE-EPT,14738444.0,6/30/2014,12,6/30/2025,784,
13T&I0019,DE,,Granted,13T&I0019-DE-EPT,14738444.0,6/30/2014,13,6/30/2026,1043,
13T&I0019,FR,,Granted,13T&I0019-FR-EPT,14738444.0,6/30/2014,12,6/30/2025,350,
13T&I0019,FR,,Granted,13T&I0019-FR-EPT,14738444.0,6/30/2014,13,6/30/2026,444,
13T&I0019,GB,,Granted,13T&I0019-GB-EPT,14738444.0,6/30/2014,12,6/30/2025,306,
13T&I0019,GB,,Granted,13T&I0019-GB-EPT,14738444.0,6/30/2014,13,6/30/2026,393,
13T&I0019,GC,,Granted,13T&I0019-GC-NP,2014/27472,7/1/2014,12,3/1/2025,1699,2/16/2025
13T&I0019,GC,,Granted,13T&I0019-GC-NP,2014/27472,7/1/2014,13,3/1/2026,1753,
13T&I0019,IN,,Granted,13T&I0019-IN-PCT,10361/DELNP/2015,11/9/2015,12,6/30/2025,390,
13T&I0019,IN,,Granted,13T&I0019-IN-PCT,10361/DELNP/2015,11/9/2015,13,6/30/2026,388,
13T&I0019,IT,,Granted,13T&I0019-IT-EPT,14738444.0,6/30/2014,12,6/30/2025,484,
13T&I0019,IT,,Granted,13T&I0019-IT-EPT,14738444.0,6/30/2014,13,6/30/2026,678,
13T&I0019,JP,A,Granted,13T&I0019-JP-PCT,2016522567,12/3/2015,5,12/15/2024,128,11/16/2024
13T&I0019,JP,A,Granted,13T&I0019-JP-PCT,2016522567,12/3/2015,6,12/15/2025,138,
13T&I0019,KR,,Granted,13T&I0019-KR-PCT,1020167002652,1/29/2016,4,12/9/2024,206,11/16/2024
13T&I0019,KR,,Granted,13T&I0019-KR-PCT,1020167002652,1/29/2016,5,12/9/2025,208,
13T&I0019,NL,,Granted,13T&I0019-NL-EPT,14738444.0,6/30/2014,12,6/30/2025,692,
13T&I0019,NL,,Granted,13T&I0019-NL-EPT,14738444.0,6/30/2014,13,6/30/2026,881,
13T&I0019,SG,,Granted,13T&I0019-SG-PCT,11201509169Y,11/5/2015,12,6/30/2025,556,5/29/2025
13T&I0019,SG,,Granted,13T&I0019-SG-PCT,11201509169Y,11/5/2015,13,6/30/2026,581,
13T&I0019,US,,Granted,13T&I0019-US-PCT,14/901873,12/29/2015,8,10/16/2026,4047,
13T&I0020,CN,,Granted,13T&I0020-CN-PCT,CN201480034226.1,12/16/2015,12,6/30/2025,578,5/29/2025
13T&I0020,CN,,Granted,13T&I0020-CN-PCT,CN201480034226.1,12/16/2015,13,6/30/2026,858,
13T&I0020,DE,,Granted,13T&I0020-DE-EPT,14733662.2,6/30/2014,12,6/30/2025,784,
13T&I0020,DE,,Granted,13T&I0020-DE-EPT,14733662.2,6/30/2014,13,6/30/2026,1043,
13T&I0020,FR,,Granted,13T&I0020-FR-EPT,14733662.2,6/30/2014,12,6/30/2025,350,
13T&I0020,FR,,Granted,13T&I0020-FR-EPT,14733662.2,6/30/2014,13,6/30/2026,444,
13T&I0020,GC,,Granted,13T&I0020-GC-NP,2014/27480,7/1/2014,12,3/1/2025,1699,2/16/2025
13T&I0020,GC,,Granted,13T&I0020-GC-NP,2014/27480,7/1/2014,13,3/1/2026,1753,
13T&I0020,IN,,Granted,13T&I0020-IN-PCT,10282/DELNP/2015,11/5/2015,12,6/30/2025,390,
13T&I0020,IN,,Granted,13T&I0020-IN-PCT,10282/DELNP/2015,11/5/2015,13,6/30/2026,388,
13T&I0020,KR,,Granted,13T&I0020-KR-PCT,20167002655,1/29/2016,4,9/28/2024,268,8/29/2024
13T&I0020,KR,,Granted,13T&I0020-KR-PCT,20167002655,1/29/2016,5,9/28/2025,262,
13T&I0020,KR,,Granted,13T&I0020-KR-PCT,20167002655,1/29/2016,6,9/28/2026,271,
13T&I0020,NL,,Granted,13T&I0020-NL-EPT,14733662.2,6/30/2014,12,6/30/2025,692,
13T&I0020,NL,,Granted,13T&I0020-NL-EPT,14733662.2,6/30/2014,13,6/30/2026,881,
13T&I0020,SG,,Granted,13T&I0020-SG-PCT,11201509170P,12/18/2015,12,6/30/2025,556,5/29/2025
13T&I0020,SG,,Granted,13T&I0020-SG-PCT,11201509170P,12/18/2015,13,6/30/2026,581,
13T&I0020,US,,Granted,13T&I0020-US-PCT,14/901876,12/29/2015,8,7/9/2025,4047,
13T&I0047,CN,,Granted,13T&I0047-CN-PCD,201811343725.5,11/13/2018,11,12/10/2024,581,11/16/2024
13T&I0047,CN,,Granted,13T&I0047-CN-PCD,201811343725.5,11/13/2018,12,12/10/2025,582,
